PID,DATE,TIME,ELAPSED,CPU,MEM,RSS,VSIZE,CMD
77464,2023-03-31,13:59:16,00:23,0.0,0.4,70736,408685744,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=2 --pool=prefork --loglevel=info --without-gossip --without-mingle
77467,2023-03-31,13:59:16,00:23,0.0,0.1,19120,408683376,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=2 --pool=prefork --loglevel=info --without-gossip --without-mingle
77468,2023-03-31,13:59:16,00:23,0.0,0.1,17552,408683376,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=2 --pool=prefork --loglevel=info --without-gossip --without-mingle
77464,2023-03-31,13:59:17,00:24,0.0,0.4,70736,408685744,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=2 --pool=prefork --loglevel=info --without-gossip --without-mingle
77467,2023-03-31,13:59:17,00:24,0.0,0.1,19120,408683376,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=2 --pool=prefork --loglevel=info --without-gossip --without-mingle
77468,2023-03-31,13:59:17,00:24,0.0,0.1,17552,408683376,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=2 --pool=prefork --loglevel=info --without-gossip --without-mingle
77464,2023-03-31,13:59:18,00:25,0.0,0.4,70736,408685744,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=2 --pool=prefork --loglevel=info --without-gossip --without-mingle
77467,2023-03-31,13:59:18,00:25,0.0,0.1,19120,408683376,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=2 --pool=prefork --loglevel=info --without-gossip --without-mingle
77468,2023-03-31,13:59:18,00:25,0.0,0.1,17552,408683376,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=2 --pool=prefork --loglevel=info --without-gossip --without-mingle
77464,2023-03-31,13:59:19,00:26,0.0,0.4,70736,408685744,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=2 --pool=prefork --loglevel=info --without-gossip --without-mingle
